"orgEic";"injectionUnit_id";"injectionUnit_name";"injectionUnit_eic"
"40X000000004469V";106548;"Kayaköprü";"40W000000106548W"
"40X000000006420E";62665;"HORYAN HES";"40W000000062665J"
"40X000000006420E";280116;"Köprübaþý";"40W100000280116N"
"40X000000006420E";280113;"Kýy";"40W0000002801135"
"40X000000006420E";280131;"Soðukpýnar";"40W0000002801313"
"40X100000004573N";49332;"ARSIN ENERJÝ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000049332N"
"40X100000004573N";5347;"Arsýn Elektrik Üretim A.Þ";"40W000000005347H"
"40X0000000082406";2316417;"KADAHOR HES";"40W000002316417B"
"40X000000008861B";3193587;"SUÇATI 1 REG. VE HES(ARTIDEÐER ENR.)";"40W000003193587X"
"40X0000000004029";3624;"ARÇELÝK A.Þ._ÇAYIROVA";"40W000000003624R"
"40X000000000286M";3575;"ARÇELÝK ESKÝÞEHÝR";"40W000000003575E"
"40X000000011533K";3204069;"MANYAS HES";"40W000003204069N"
"40X000000011757Z";3204616;"AS KOÇ BÝYOGAZ TESÝSÝ";"40W000003204616K"
"40X000000004489P";3203714;"ASAÞ ALÜMÝNYUM SAN.VE TÝC.A.Þ ÜRETÝM TESÝSÝ";"40W000003203714P"
"40X100000010695N";3199250;"ASLAN ÇÝM.ATIK ISIDAN E.Ü.TES.";"40W0000031992501"
"40X000000007020P";953023;"ASLANCIK HES";"40W000000953023Y"
"40X000000011775X";3204674;"ADATEPE BARAJI VE HES";"40W0000032046746"
"40X0000000096745";3195270;"MANAVGAT BARAJI VE HES";"40W000003195270F"
"40X0000000101083";3196709;"ASSU BALIKLI 1-2-3";"40W000003196709U"
"40X0000000068598";736492;"UZUNDERE II";"40W000000736492A"
"40X0000000001801";1034;"ATAER ENERJÝ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000001034L"
"40X000000008247T";2038066;"ÇAÐLAYAN HES(ATE ENR.)";"40W000002038066D"
"40X000000000614V";3907;"Atik Pasha Turizm A.S";"40W000000003907F"
"40X000000007639H";1478766;"ATLAS TES";"40W000001478766F"
"40X000000010376F";3196983;"OSMANÝYE ÇÖP GAZI E.Ü.T.";"40W000003196983A"
"40X000000011805D";3204714;"ATLAS ÝNÞ.BURDUR ÇÖP GAZI ELK.ÜRT.TESÝSÝ";"40W000003204714K"
"40X000000011806B";3204715;"ATLAS ÝNÞ.EDÝRNE ÇÖP GAZI ELK.ÜRT.TESÝSÝ";"40W000003204715I"
"40X000000011804F";3204713;"ATLAS ÝNÞ. BURDUR BÝYOGAZ TESÝSÝ";"40W000003204713M"
"40X000000010338N";3196982;"HATAY GÖKÇEGÖZ ÇÖP SANT.";"40W000003196982C"
"40X100000005903N";180971;"Diyoban HES";"40W0000001809713"
"40X000000005410M";99683;"AVCILAR ENERJÝ ELEKTRÝK ÜRETÝM A.Þ";"40W0000000996831"
"40X0000000058211";118302;"AVKAL ENERJÝ ÜRETÝM";"40W000000118302B"
"40X000000010336R";3196948;"ANKAMALL AVM TRÝJEN.";"40W000003196948C"
"40X000000006278S";300754;"AY ELEKTRIK ÜRETIM A.Þ. ESKÝ KÖY HES";"40W0000003007548"
"40X000000005189W";99494;"KÖKNAR HES";"40W0000000994944"
"40X000000005189W";99478;"ÇINAR-1 HES";"40W0000000994782"
"40X000000000204D";3566;"AYDIN ÖRME SAN. VE TÝC. A.Þ.";"40W000000003566F"
"40X000000009421Y";3194133;"HANAK HES";"40W000003194133U"
"40X000000000613X";3194466;"AKBÜK II RES";"40W0000031944663"
"40X000000000613X";3925;"AKBÜK RES(AYEN ENR.)";"40W000000003925D"
"40X000000000613X";99942;"BÜYÜKDÜZ HES";"40W0000000999423"
"40X000000000613X";1585994;"KORKMAZ RES";"40W0000015859944"
"40X000000000613X";472293;"MORDOÐAN RES(AYEN ENR.)";"40W000000472293X"
"40X000000000613X";3194443;"XXX";"40W000003194443F"
"40X000000007840O";1624831;"AYNES TERMÝK KOJENERASYON SANTRALÝ";"40W000001624831T"
"40X000000010290P";3196694;"AYRES_OVARES";"40W000003196694H"
"40X000000006939A";609493;"Karadere RES";"40W000000609493I"
"40X000000004834Y";60855;"SEYÝT ONBAÞI RES";"40W000000060855O"
"40X000000010815F";3199489;"ÇARDAKLI REG. ve HES";"40W0000031994893"
"40X000000008563J";3193621;"AZRA BÝSKÜVÝ";"40W000003193621M"
"40X000000007481Q";1398619;"TUANA HES";"40W000001398619N"
"40X000000010976S";3199790;"AÞKALE ÇÝMENTO E.Ü.S.";"40W0000031997906"
"40X000000000394J";3628;"BAGFAÞ Bandýrma Gübre Fabrikalarý A.Þ.";"40W000000003628J"
"40X000000002064U";3205526;"ESENTEPE REG.ve HES";"40W000003205526G"
"40X000000002064U";3205521;"Esentepe HES";"40W000003205521Q"
"40X000000002064U";8270;"KALE REG. VE HES";"40W000000008270B"
"40X000000002064U";111193;"TELLÝ I-II REGÜLATÖRÜ VE HES";"40W000000111193P"
"40X000000000581K";3802;"BAHÇIVAN GIDA SAN.TÝC.VE A.Þ.";"40W000000003802T"
"40X000000010228U";3196728;"YAHYALI RES(BAK)";"40W000003196728Q"
"40X0000000111151";3200292;"KÜREKDAÐI RES";"40W0000032002923"
"40X0000000022043";9810;"SENBUK RES(BAKRAS ENR.)";"40W0000000098100"
"40X000000000574H";3784;"ÞAMLI RES";"40W0000000037845"
"40X0000000073245";1235449;"Balabanlý RES";"40W0000012354496"
"40X000000004890O";99376;"BALSUYU MENUCAT SAN. VE TÝC. A.Þ.";"40W000000099376A"
"40X000000000998O";4521;"BANDIRMA RES(BANDIRMA ENR.)";"40W000000004521W"
"40X000000006819K";478180;"KÝRAZLIK HES";"40W000000478180G"
"40X0000000051497";100073;"Tuzköy Hes";"40W0000001000739"
"40X0000000093211";3194370;"Batýsöke";"40W000003194370G"
"40X000000009455H";3195231;"ATIK ISI SANTRALÝ";"40W000003195231P"
"40X000000009455H";3195225;"Atýk Isý Santrali";"40W000003195225K"
"40X000000000507W";3765;"Batýçim Santralý";"40W0000000037659"
"40X000000000507W";49137;"HASANLAR HES";"40W000000049137L"
"40X000000000507W";133430;"HASANLAR Hidroelektrik Santrali";"40W000000133430F"
"40X000000000507W";78408;"Kovada 1 HES";"40W0000000784083"
"40X000000000507W";78414;"Kovada 2 HES";"40W0000000784148"
"40X000000006639M";339787;"Irmak HES";"40W0000003397874"
"40X000000000638H";3975;"BAYBURT ENERJÝ ÜRETÝM VE TÝC. A.Þ.";"40W000000003975Z"
"40X000000000638H";111611;"BAYBURT ENERJÝ ÜRETÝM VE TÝC.A.Þ.";"40W000000111611X"
"40X0000000118168";3205527;"ANKARA DGKÇ SANTRALÝ";"40W000003205527E"
"40X000000010432V";3197368;"TARABYA OTELÝ D.KOJ.TESÝSÝ";"40W000003197368P"
"40X000000000231A";2359;"Baðcý Balýk Üretim";"40W000000002359P"
"40X0000000113964";3204160;"BAÐLAR ELEKTRÝK ÜRETÝM A.Þ.";"40W0000032041600"
"40X0000000113964";3204190;"BAÐLAR RES (BAÐLAR ELK.ÜRT.A.Þ.)";"40W000003204190S"
"40X000000004891M";112263;"GÜNEÞLÝ II HES(BAÐPINAR ELK.)";"40W000000112263P"
"40X000000009730L";3196900;"KUZEY I-II REG.VE HES";"40W0000031969003"
"40X0000000053740";106681;"Bamen kojenerasyon santrali";"40W000000106681U"
"40X000000000997Q";4421;"BELEN ELEKTRÝK ÜRETÝM A.Þ.";"40W000010004421R"
"40X0000000001089";257;"BEREKET 1-2 HES";"40W0000000002576"
"40X0000000001089";258;"DALAMAN 1-2-3-4-5 HES";"40W0000000002584"
"40X0000000001089";259;"FESLEK HES";"40W0000000002592"
"40X0000000001089";3195462;"GÖKYAR HES";"40W0000031954626"
"40X0000000001089";4003;"KOYULHÝSAR HES(bereket)";"40W000000004003H"
"40X0000000001089";106667;"LFG (ÇÖP) GAZ SANTRALI";"40W000000106667O"
"40X0000000001089";106668;"LFG (ÇÖP) GAZ SANTRALI";"40W000000106668M"
"40X0000000001089";2999;"MENTAÞ HES";"40W000000002999Q"
"40X0000000001089";270197;"TOROS HES";"40W000000270197G"
"40X000000000460W";3751;"BEREKET JEOTERMAL ENERJÝ ÜRETÝM SANTRALI";"40W000000003751K"
"40X000000009848Z";3196267;"BEREKETLÝ RES";"40W100003196267N"
"40X000000011456C";3203829;"Bulgurkaya HES";"40W0000032038298"
"40X000000001904H";6385;"ALÝAÐA RES(BERGAMA RES ENR.)";"40W0000000063854"
"40X000000010552L";3197569;"BERGRES RES";"40W000003197569F"
"40X000000000290V";3080;"PENDÝK SANTRALÝ_(Doðalgaz+LPG(Motorin))";"40W0000000030804"
"40X000000009888N";3196327;"EBRU HES";"40W0000031963277"
"40X000000009888N";3197427;"ÇÝÐDEM REG. ve HES";"40W000003197427Z"
"40X000000010288C";3196951;"GÜVERCÝN REG. VE HES";"40W000003196951N"
"40X000000011094K";3200169;"KARAMENDERES HES";"40W0000032001692"
"40X0000000080608";99519;"TUYAT ELEKTRÝK ÜRETÝM A.Þ.";"40W000000099519E"
"40X000000005842U";181007;"Beybo Boya Kojenerasyon Tesisi";"40W0000001810076"
"40X000000000626O";31600;"OTLUCA HES(BEYOBASI ENR.)";"40W000000031600X"
"40X000000000626O";3985;"SIRMA Hidroelektrik Santrali";"40W000000003985W"
"40X000000000626O";800166;"Sekiyaka 2 Hidroelektrik Santrali";"40W000000800166R"
"40X000000004915Y";3194437;"BEYPÝ A.Þ. BOLU YEM FABRÝKASI KOJENERASYON SANTRALÝ";"40W000003194437A"
"40X000000004915Y";82779;"BEYPÝLÝÇ OTOPRODÜKTÖR";"40W000000082779T"
"40X0000000117730";3204676;"CEYLANPINAR BÝYOKÜTLE ENERJÝ SANTRALÝ";"40W0000032046762"
"40X000000010380O";3197347;"KUBÝLAY JES";"40W000003197347X"
"40X0000000088815";3192120;"KIYIKÖY RES(BEÞÝKTEPE ENR.)";"40W000003192120C"
"40X000000006919G";725944;"SUKENARI HES";"40W000000725944C"
"40X0000000115754";3204561;"BÝENTAÞ AKÞEHÝR ELEKTRÝK ÜRETÝM TESÝSÝ";"40W000003204561J"
"40X0000000115754";3204329;"BÝENTAÞ ERZURUM ELEKTRÝK ÜRETÝM TESÝSÝ";"40W000003204329N"
"40X0000000115754";3204573;"BÝENTAÞ KAÞINHANI ELK. ÜRT.TESÝSÝ";"40W000003204573C"
"40X100000009322N";100221;"PAMUKOVABIOGAZ";"40W000000100221K"
"40X0000000084992";2225698;"Pitane RES";"40W000002225698K"
"40X0000000017647";14987;"BME BÝRLEÞÝK MÜTEAHHÝTLER ENERJÝ ÜRETÝM VE TÝCARET A.Þ.";"40W000000014987H"
"40X000000007041H";1930383;"Üçgen Regülatörü ve Hidroelektrik Santrali";"40W000001930383N"
"40X000000007041H";1930374;"Üçgen Regülatörü ve Hidroelektrik Santrali";"40W000001930374O"
"40X000000007041H";1472299;"Üçgen-2 Regülatörü ve Hidroelektrik Santrali";"40W000001472299D"
"40X000000005958B";121450;"CEVÝZLÝDERE HES";"40W000000121450P"
"40X000000005958B";121467;"ÇELTÝKDERE HES";"40W0000001214678"
"40X0000000106941";3199249;"BOLU ÇÝM.ATIK ISIDAN .E.Ü.TES.";"40W000003199249N"
"40X0000000057312";112866;"Þifrin Reg. ve HES";"40W000000112866W"
"40X000000010975U";3200336;"KAROVA RES";"40W0000032003369"
"40X100000002044N";7591;"Boreas 1 Enez RES";"40W000000007591X"
"40X0000000056340";111617;"BOYABAT HES";"40W000000111617L"
"40X000000003846W";29321;"BAYBURT HES(BOYDAK ENR.)";"40W0000000293213"
"40X000000003846W";10310;"BAÞAK HES";"40W000000010310M"
"40X000000003846W";29322;"CEMISGEZEK HES";"40W0000000293221"
"40X000000003846W";24417;"Erenköy HES";"40W000000024417F"
"40X000000003846W";29320;"GIRLEVIK HES";"40W0000000293205"
"40X000000003846W";5245;"SÜMER";"40W000000005245P"
"40X000000003846W";82717;"Tuna Hes";"40W000000082717E"
"40X000000003846W";27492;"UMUT HES";"40W000000027492N"
"40X000000003846W";1542340;"YAPRAK HES";"40W000001542340G"
"40X000000003846W";37409;"YAPRAK HES";"40W000000037409U"
"40X000000003846W";414054;"Yayla Reg. ve HES";"40W0000004140543"
"40X000000003846W";1398638;"ÇANTA RES";"40W000001398638J"
"40X000000010329O";3206090;"KARADAÐ RES";"40W000003206090M"
"40X000000010329O";3196954;"KILCAN HES";"40W000003196954H"
"40X000000007843I";1808498;"ZEKERE HES";"40W000001808498S"
"40X000000005658N";117883;"Gemciler HES";"40W0000001178837"
"40X000000008159Q";1817561;"AMASYA ÇÖP GAZ ELEKTRÝK ÜRETÝM TESÝSÝ";"40W0000018175619"
"40X000000007519R";1624872;"KAVAKLI RES";"40W000001624872F"
"40X000000005710A";113913;"YAGMUR HES";"40W0000001139137"
"40X000000004148E";52650;"BALKODU 1";"40W0000000526501"
"40X000000004148E";3196769;"BALKODU II HES";"40W000003196769C"
"40X0000000059013";118386;"BUCAK YENÝLENEBÝLÝR ENERJÝ ÜRETÝM A.Þ.";"40W000000118386G"
"40X000000010813J";3204189;"ELBÝZ REG. ve HES";"40W000003204189D"
"40X0000000105961";3198988;"BUPÝLÝÇ SANTRALÝ";"40W000003198988R"
"40X0000000073326";1048741;"BOÐAZKÖY HES";"40W0000010487413"
